name	value
Chris Bosh	2009-2010 East Reserve
Gerald Wallace	2009-2010 East Reserve
Joe Johnson	2009-2010 East Reserve
David Lee	2009-2010 East Reserve
Paul Pierce	2009-2010 East Reserve
Kevin Garnett	2009-2010 East Starter
Dwight Howard	2009-2010 East Starter
Dwyane Wade	2009-2010 East Starter
Allen Iverson	2009-2010 East Starter
LeBron James	2009-2010 East Starter
Dirk Nowitzki	2009-2010 West Reserve
Zach Randolph	2009-2010 West Reserve
Brandon Roy	2009-2010 West Reserve
Chauncey Billups	2009-2010 West Reserve
Chris Kaman	2009-2010 West Reserve
Jason Kidd	2009-2010 West Reserve
Pau Gasol	2009-2010 West Reserve
Chris Paul	2009-2010 West Reserve
Deron Williams	2009-2010 West Reserve
Kevin Durant	2009-2010 West Reserve
Steve Nash	2009-2010 West Starter
Kobe Bryant	2009-2010 West Starter
Amar'e Stoudemire	2009-2010 West Starter
Tim Duncan	2009-2010 West Starter
Carmelo Anthony	2009-2010 West Starter
Paul Pierce	2010-2011 East Reserve
Kevin Garnett	2010-2011 East Reserve
Ray Allen	2010-2011 East Reserve
Al Horford	2010-2011 East Reserve
Joe Johnson	2010-2011 East Reserve
Chris Bosh	2010-2011 East Reserve
Rajon Rondo	2010-2011 East Reserve
Amar'e Stoudemire	2010-2011 East Starter
LeBron James	2010-2011 East Starter
Derrick Rose	2010-2011 East Starter
Dwight Howard	2010-2011 East Starter
Dwyane Wade	2010-2011 East Starter
Tim Duncan	2010-2011 West Reserve
Blake Griffin	2010-2011 West Reserve
Manu Ginobili	2010-2011 West Reserve
Russell Westbrook	2010-2011 West Reserve
Deron Williams	2010-2011 West Reserve
Pau Gasol	2010-2011 West Reserve
Dirk Nowitzki	2010-2011 West Reserve
Kevin Love	2010-2011 West Reserve
Chris Paul	2010-2011 West Starter
Carmelo Anthony	2010-2011 West Starter
Kobe Bryant	2010-2011 West Starter
Kevin Durant	2010-2011 West Starter
Yao Ming	2010-2011 West Starter
Chris Bosh	2011-2012 East Reserve
Joe Johnson	2011-2012 East Reserve
Rajon Rondo	2011-2012 East Reserve
Andre Iguodala	2011-2012 East Reserve
Luol Deng	2011-2012 East Reserve
Deron Williams	2011-2012 East Reserve
Paul Pierce	2011-2012 East Reserve
Roy Hibbert	2011-2012 East Reserve
LeBron James	2011-2012 East Starter
Derrick Rose	2011-2012 East Starter
Carmelo Anthony	2011-2012 East Starter
Dwight Howard	2011-2012 East Starter
Dwyane Wade	2011-2012 East Starter
Marc Gasol	2011-2012 West Reserve
Steve Nash	2011-2012 West Reserve
Kevin Love	2011-2012 West Reserve
LaMarcus Aldridge	2011-2012 West Reserve
Russell Westbrook	2011-2012 West Reserve
Dirk Nowitzki	2011-2012 West Reserve
Tony Parker	2011-2012 West Reserve
Andrew Bynum	2011-2012 West Starter
Kevin Durant	2011-2012 West Starter
Chris Paul	2011-2012 West Starter
Kobe Bryant	2011-2012 West Starter
Blake Griffin	2011-2012 West Starter
Jrue Holiday	2012-2013 East Reserve
Chris Bosh	2012-2013 East Reserve
Brook Lopez	2012-2013 East Reserve
Kyrie Irving	2012-2013 East Reserve
Luol Deng	2012-2013 East Reserve
Paul George	2012-2013 East Reserve
Joakim Noah	2012-2013 East Reserve
Tyson Chandler	2012-2013 East Reserve
Dwyane Wade	2012-2013 East Starter
Kevin Garnett	2012-2013 East Starter
Carmelo Anthony	2012-2013 East Starter
Rajon Rondo	2012-2013 East Starter
LeBron James	2012-2013 East Starter
Tony Parker	2012-2013 West Reserve
Tim Duncan	2012-2013 West Reserve
David Lee	2012-2013 West Reserve
LaMarcus Aldridge	2012-2013 West Reserve
Russell Westbrook	2012-2013 West Reserve
James Harden	2012-2013 West Reserve
Zach Randolph	2012-2013 West Reserve
Chris Paul	2012-2013 West Starter
Blake Griffin	2012-2013 West Starter
Kevin Durant	2012-2013 West Starter
Dwight Howard	2012-2013 West Starter
Kobe Bryant	2012-2013 West Starter
Joakim Noah	2013-2014 East Reserve
Joe Johnson	2013-2014 East Reserve
Chris Bosh	2013-2014 East Reserve
John Wall	2013-2014 East Reserve
DeMar DeRozan	2013-2014 East Reserve
Paul Millsap	2013-2014 East Reserve
Roy Hibbert	2013-2014 East Reserve
Paul George	2013-2014 East Starter
Kyrie Irving	2013-2014 East Starter
Dwyane Wade	2013-2014 East Starter
LeBron James	2013-2014 East Starter
Carmelo Anthony	2013-2014 East Starter
Anthony Davis	2013-2014 West Reserve
Chris Paul	2013-2014 West Reserve
Damian Lillard	2013-2014 West Reserve
LaMarcus Aldridge	2013-2014 West Reserve
James Harden	2013-2014 West Reserve
Dwight Howard	2013-2014 West Reserve
Dirk Nowitzki	2013-2014 West Reserve
Tony Parker	2013-2014 West Reserve
Kevin Love	2013-2014 West Starter
Blake Griffin	2013-2014 West Starter
Kevin Durant	2013-2014 West Starter
Kobe Bryant	2013-2014 West Starter
Stephen Curry	2013-2014 West Starter
